runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T143056Z_wOZCQV,a9a,0,0.001,0.01,4,4,4096,1,1,512,0.4594347503366622,0.4594347503366622
0827T154232Z_womSKI,a9a,5,0.001,0.005,4,32,4096,1,1,512,0.5596888091250055,0.5596888091250055
0827T162149Z_Xa65EB,a9a,1,0.001,0.1,2048,256,4096,1,1,512,0.3354819130313521,0.3354819130313521
0827T154107Z_5z0IRB,a9a,5,0.001,0.01,2,256,4096,1,1,512,0.456231880990936,0.456231880990936
0827T154423Z_BU6al4,a9a,5,0.001,0.05,8,128,4096,1,1,512,0.360132148694566,0.360132148694566
0827T161133Z_Yb9oEY,a9a,1,0.001,0.001,1,64,4096,1,1,512,0.4527543189338534,0.4416427075159815
0827T153925Z_fR0Wlb,a9a,5,0.001,0.005,1,1,4096,1,1,512,0.5573439242261623,0.5573439242261623
0827T160051Z_2NIuR1,a9a,0,0.001,1.0,8,64,4096,1,1,512,0.5499927856002417,0.5499927856002417
0827T155318Z_z0sXZm,a9a,5,0.001,0.002,2048,8,4096,1,1,512,0.7000020958160286,0.7000020958160286
0827T153319Z_ZQuZdh,a9a,5,0.001,0.05,2,4,4096,1,1,512,0.3636145571064131,0.3636145571064131
0827T162329Z_9NpG7I,a9a,2,0.001,0.02,256,1,4096,1,1,512,0.3340555328192531,0.3338394278253807
0827T145318Z_MEak2J,a9a,1,0.001,0.05,8,2,4096,1,1,512,0.4009439366824736,0.3938341757861069
0827T145237Z_40YDjN,a9a,0,0.001,0.05,2,4,4096,1,1,512,0.3636672849227462,0.3636672849227462
0827T155231Z_kxgBgk,a9a,5,0.001,0.2,2048,1,4096,1,1,512,0.3376745401711504,0.3376745401711504
0827T162300Z_lRBZpw,a9a,2,0.001,0.002,8,32,4096,1,1,512,0.4518712855030944,0.4433838458047785
0827T154840Z_amQlCk,a9a,5,0.001,0.1,1,1,4096,1,1,512,0.4043773921493431,0.4012890621305859
0827T143147Z_zHF1QK,a9a,1,0.001,0.05,2,1,4096,1,1,512,1.2892090988251308,1.1451013886529824
0827T154010Z_Aw6JBy,a9a,5,0.001,0.5,1,32,4096,1,1,512,0.5804601497153012,0.5804601497153012
0827T161202Z_G4txYA,a9a,1,0.001,0.002,8,32,4096,1,1,512,0.3825917037270167,0.3825917037270167
0827T160855Z_yaWHBB,a9a,0,0.001,1.0,2048,128,4096,1,1,512,0.547725584230025,0.5296065678425037
0827T154119Z_Z5FYVe,a9a,5,0.001,0.05,2,8,4096,1,1,512,0.363282821812651,0.363282821812651
0827T161537Z_DNwfDn,a9a,1,0.001,0.002,2048,8,4096,1,1,512,0.3413628703340166,0.3413628703340166
0827T151533Z_x7EY3q,a9a,0,0.001,0.05,1,2,4096,1,1,512,0.3952096145660694,0.3816145560737722
0827T160102Z_lOOj2H,a9a,0,0.001,0.001,8,256,4096,1,1,512,0.7787327264765005,0.7787327264765005
0827T154507Z_FZNa9s,a9a,5,0.001,5.0,8,256,4096,1,1,512,2.1988810116730466,1.1451013886529824
0827T155025Z_toGaVi,a9a,5,0.001,0.001,256,8,4096,1,1,512,0.7796391057370553,0.7796391057370553
0827T154306Z_e34BBb,a9a,5,0.001,0.2,4,32,4096,1,1,512,0.3632739966177423,0.3632739966177423
0827T155041Z_OcLgdi,a9a,5,0.001,0.001,256,32,4096,1,1,512,0.7796388897965945,0.7796388897965945
0827T145302Z_CaLXFJ,a9a,1,0.001,0.02,2,4,4096,1,1,512,0.6197232718649583,0.497316508951896
0827T154448Z_b9Vow8,a9a,5,0.001,1.0,8,4,4096,1,1,512,0.4624070002964013,0.4624070002964013
0827T145342Z_ovcbH4,a9a,2,0.001,0.05,1,1,4096,1,1,512,1.573990081755252,1.1451013886529824
0827T145339Z_QkCDRa,a9a,2,0.001,0.02,4,4,4096,1,1,512,0.3641210100786545,0.3628079447024363
0827T162228Z_Vl8KSz,a9a,2,0.001,0.01,1,32,4096,1,1,512,0.4053951571428264,0.4053951571428264
